Rest_name,Rest_ratings,Rest_noreviews,Rest_price,Rest_cuisine,Rest_add,Rest_tel,Rest_nbh,Rating,Price,Cuisine,Street_add,neighbourhood_,neighbourhood,neighbourhood_good
Herby Restaurant,4.5 star rating,18,None,Persian/Iranian,397 Danforth Ave,397 Danforth Ave,Greektown,4.5,0,Middle Eastern,Danforth Ave,,Greektown,Greektown
Morgan’s On the Danforth,4 star rating,82,$$,Gastropubs,1282 Danforth Avenue,(416) 461-3020,The Danforth,4.0,2,American,Danforth Avenue,,The Danforth,The Danforth
Bi Bim Bap,4 star rating,67,$$,Korean,950 Eglinton Avenue W,(416) 787-7423,,4.0,2,Asian,Eglinton Avenue W,York,1,York
Rhum Corner,4 star rating,119,$$,Caribbean,926 Dundas Street W,(647) 346-9356,Little Italy,4.0,2,Carribean,Dundas Street W,,Little Italy,Little Italy
Lims Chicken,4 star rating,7,None,Korean,623 Bloor Street W,(416) 537-8288,Koreatown,4.0,0,Asian,Bloor Street W,,Koreatown,Koreatown
The Cheesecake Factory,3 star rating,630,$$,Desserts,None,(416) 781-4477,,3.0,2,American,,,1,
Pujukan Authentic Korean BBQ,4 star rating,43,$$,Korean,4852 Yonge Street,(416) 840-0589,Willowdale,4.0,2,Asian,Yonge Street,,Willowdale,Willowdale
Positano Restaurant,4.5 star rating,48,$$,Pizza,633 Mount Pleasant Road,(416) 932-3982,Mount Pleasant and Davisville,4.5,2,American,Mount Pleasant Road,,Mount Pleasant and Davisville,Mount Pleasant and Davisville
Big Trouble Pizza,4.5 star rating,52,$$,Pizza,235 Spadina Avenue,(416) 596-0305,Chinatown,4.5,2,American,Spadina Avenue,,Chinatown,Chinatown
Pho Anh Vu,4.5 star rating,25,$$,Vietnamese,3200 Dufferin Street,(647) 346-9333,,4.5,2,Asian,Dufferin Street,Downtown Core,1,Downtown Core
Maizuo Noodle and Crepe,5 star rating,1,None,Chinese,209 Dundas St W,209 Dundas St W,Downtown Core,5.0,0,Asian,Dundas St W,,Downtown Core,Downtown Core
Banh Mi Boys,4 star rating,483,$,Vietnamese,399 Yonge Street,(416) 977-0303,Ryerson,4.0,1,Asian,Yonge Street,,Ryerson,Ryerson
Beijing Hot Pot Restaurant,4 star rating,78,$$,Hot Pot,107 Parkway Forest Drive,(647) 342-2028,,4.0,2,Asian,Parkway Forest Drive,Scarborough,1,Scarborough
Karma’s Kitchen,3.5 star rating,57,$$,Himalayan/Nepalese,1411 Gerrard Street E,(647) 345-2762,Leslieville,3.5,2,Asian,Gerrard Street E,,Leslieville,Leslieville
Oretta,3.5 star rating,251,$$$,Italian,633 King Street W,(416) 944-1932,,3.5,3,European,King Street W,Entertainment District,1,Entertainment District
Pho Son,4 star rating,31,$,Vietnamese,2319 Keele Street,2319 Keele Street,,4.0,1,Asian,Keele Street,North York,1,North York
SOCO Kitchen + Bar,3.5 star rating,203,$$,Bars,75 Lower Simcoe Street,(416) 637-5465,Entertainment District,3.5,2,American,Lower Simcoe Street,,Entertainment District,Entertainment District
Grey Gardens,4.5 star rating,95,$$$,Wine Bars,199 Augusta Avenue,(647) 351-1552,Kensington Market,4.5,3,American,Augusta Avenue,,Kensington Market,Kensington Market
Spicy Incredibowl,4 star rating,4,None,Chinese,415 Spadina Ave,415 Spadina Ave,Chinatown,4.0,0,Asian,Spadina Ave,,Chinatown,Chinatown
Figo,3.5 star rating,250,$$$,Italian,295 Adelaide St W,(647) 748-3446,Entertainment District,3.5,3,European,Adelaide St W,,Entertainment District,Entertainment District
Wallflower,4 star rating,35,$$,Canadian (New),1665 Dundas Street W,(647) 352-5605,Brockton Village,4.0,2,American,Dundas Street W,,Brockton Village,Brockton Village
Shalom Ethopian Restaurant,4.5 star rating,21,$$,Ethiopian,587 Parliament Street,(416) 964-7271,Cabbagetown,4.5,2,African,Parliament Street,,Cabbagetown,Cabbagetown
Bloom,4 star rating,25,None,Cafes,596 Yonge street,596 Yonge street,Downtown Core,4.0,0,American,Yonge street,,Downtown Core,Downtown Core
Panera Bread,3 star rating,82,$$,Salad,3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
M’Zaar Restaurant,4 star rating,132,$,Lebanese,668 Yonge Street,(647) 350-0666,Downtown Core,4.0,1,Middle Eastern,Yonge Street,,Downtown Core,Downtown Core
COO Café Bread or Rice,4.5 star rating,82,$$,Japanese,1049 Bloor Street W,(647) 351-5166,Dufferin Grove,4.5,2,Asian,Bloor Street W,,Dufferin Grove,Dufferin Grove
Brasileirissimo Steak House,4.5 star rating,8,None,Brazilian,1209 Dundas Street W,(416) 537-8988,Little Portugal,4.5,0,South American,Dundas Street W,,Little Portugal,Little Portugal
Love Chix,4 star rating,41,$$,Chicken Shop,1588 Dupont Street,(416) 546-0626,The Junction,4.0,2,American,Dupont Street,,The Junction,The Junction
Buono,4 star rating,16,None,Italian,354 Queen Street W,(416) 205-1001,Queen Street West,4.0,0,European,Queen Street W,,Queen Street West,Queen Street West
The Captain’s Boil,5 star rating,18,None,Cajun/Creole,2655 Yonge St,(416) 485-2655,,5.0,0,Other,Yonge St,,1,
Saigon House,4.5 star rating,15,None,Vietnamese,3393 Yonge St,(416) 483-0736,,4.5,0,Asian,Yonge St,,1,
Playa Cabana Cantina,3.5 star rating,271,$$,Mexican,2883 Dundas Street W,(647) 352-7767,The Junction,3.5,2,Mexican,Dundas Street W,,The Junction,The Junction
Tennessee,4 star rating,45,$$,Bars,1554 Queen Street W,(416) 535-7777,Parkdale,4.0,2,American,Queen Street W,,Parkdale,Parkdale
Butter Chicken Factory,3.5 star rating,109,$$,Indian,556 Parliament Street,(416) 964-7583,Cabbagetown,3.5,2,Asian,Parliament Street,,Cabbagetown,Cabbagetown
Chop Chop,4 star rating,68,$,Chinese,771 Dundas Street W,(416) 842-8277,Trinity Bellwoods,4.0,1,Asian,Dundas Street W,,Trinity Bellwoods,Trinity Bellwoods
Sansotei,4 star rating,270,$$,Ramen,650 Yonge Street,(647) 349-3833,Downtown Core,4.0,2,Asian,Yonge Street,,Downtown Core,Downtown Core
Bloom,4 star rating,25,None,Cafes,596 Yonge street,596 Yonge street,Downtown Core,4.0,0,American,Yonge street,,Downtown Core,Downtown Core
Pizzeria Via Mercanti,4 star rating,229,$$,Pizza,188 Augusta Avenue,(647) 343-6647,Kensington Market,4.0,2,American,Augusta Avenue,,Kensington Market,Kensington Market
African Palace,4 star rating,88,$$,Ethiopian,977 Bloor Street W,(416) 539-0259,Dovercourt,4.0,2,African,Bloor Street W,,Dovercourt,Dovercourt
Pizza Shab,5 star rating,1,None,Pizza,1978 Yonge Street,(416) 551-4999,Mount Pleasant and Davisville,5.0,0,American,Yonge Street,,Mount Pleasant and Davisville,Mount Pleasant and Davisville
Wallflower,4 star rating,35,$$,Canadian (New),1665 Dundas Street W,(647) 352-5605,Brockton Village,4.0,2,American,Dundas Street W,,Brockton Village,Brockton Village
Yuugi Izakaya,4.5 star rating,19,None,Japanese,49 Baldwin Street,(647) 343-8282,Downtown Core,4.5,0,Asian,Baldwin Street,,Downtown Core,Downtown Core
The Keg Steakhouse + Bar - Mansion,4 star rating,314,$$$,Steakhouses,515 Jarvis Street,(416) 964-6609,,4.0,3,American,Jarvis Street,Entertainment District,1,Entertainment District
Uncle Tony’s,4 star rating,65,$$,Italian,38 Wellington Street E,(416) 868-9564,St. Lawrence,4.0,2,European,Wellington Street E,,St. Lawrence,St. Lawrence
EAT BKK,3.5 star rating,20,$$,Thai,580 Queen Street West,(416) 862-8424,Alexandra Park,3.5,2,Asian,Queen Street West,,Alexandra Park,Alexandra Park
SOCO Kitchen + Bar,3.5 star rating,203,$$,Bars,75 Lower Simcoe Street,(416) 637-5465,Entertainment District,3.5,2,American,Lower Simcoe Street,,Entertainment District,Entertainment District
Oretta,3.5 star rating,251,$$$,Italian,633 King Street W,(416) 944-1932,,3.5,3,European,King Street W,Entertainment District,1,Entertainment District
Kaito Sushi,4 star rating,26,None,Sushi Bars,1211 St Clair Ave W,(416) 792-6796,Corso Italia,4.0,0,American,St Clair Ave W,,Corso Italia,Corso Italia
Konjiki Ramen,4 star rating,570,$$,Ramen,5051 Yonge Street,(647) 350-7766,Willowdale,4.0,2,Asian,Yonge Street,,Willowdale,Willowdale
Brickyard Bistro,4.5 star rating,54,$$,French,1289 Gerrard Street E,(416) 778-4440,Leslieville,4.5,2,European,Gerrard Street E,,Leslieville,Leslieville
Poke Guys,4 star rating,340,$$,Hawaiian,112 Elizabeth Street,(416) 506-7653,Downtown Core,4.0,2,American,Elizabeth Street,,Downtown Core,Downtown Core
Sakai Bar,5 star rating,19,None,Japanese,1576 Dundas Street West,1576 Dundas Street West,Brockton Village,5.0,0,Asian,Dundas Street West,,Brockton Village,Brockton Village
Jz’s Pizza,4 star rating,99,$$,Pizza,232 Wellington Street W,(647) 347-2727,Entertainment District,4.0,2,American,Wellington Street W,Entertainment District,Entertainment District,Entertainment District
Jules Bistro,4 star rating,57,$$$,French,924 Queen Street West,(416) 533-5454,West Queen West,4.0,3,European,Queen Street West,,West Queen West,West Queen West
Panera Bread,3 star rating,82,$$,Soup,3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
Drom Taberna,4 star rating,36,None,Ukrainian,458 Queen Street W,(647) 748-2099,Alexandra Park,4.0,0,European,Queen Street W,,Alexandra Park,Alexandra Park
Karahi Boys,4 star rating,11,None,Pakistani,1921 Lawrence Avenue E,(416) 901-8727,Scarborough,4.0,0,Middle Eastern,Lawrence Avenue E,,Scarborough,Scarborough
La Cubana,4 star rating,215,$$,Cuban,92 Ossington Avenue,(416) 537-0134,Ossington Strip,4.0,2,South American,Ossington Avenue,,Ossington Strip,Ossington Strip
Kub Khao Thai Eatery,4 star rating,323,$$,Thai,3561 Sheppard E,(416) 297-8888,Scarborough,4.0,2,Asian,Sheppard E,,Scarborough,Scarborough
Skyline Restaurant,4 star rating,68,$$,Bars,1426 Queen Street W,(416) 536-3682,Parkdale,4.0,2,American,Queen Street W,,Parkdale,Parkdale
Thai Basil Toronto,3.5 star rating,141,$$,Thai,467 Bloor Street W,(416) 840-9988,,3.5,2,Asian,Bloor Street W,,1,
Mean Bao,4 star rating,13,None,Dim Sum,2210 Dundas Street W,(647) 349-2210,Roncesvalles,4.0,0,Asian,Dundas Street W,,Roncesvalles,Roncesvalles
Marcello’s pizzeria,4 star rating,85,$$,Pizza,1163 Saint Clair Avenue W,(416) 656-6159,,4.0,2,American,Saint Clair Avenue W,Wychwood,1,Wychwood
Levetto,4 star rating,149,$$,Pizza,382 Spadina Avenue,(647) 748-8829,Chinatown,4.0,2,American,Spadina Avenue,,Chinatown,Chinatown
Hot Pot Restaurant,4.5 star rating,20,$$,Caribbean,1545 Eglinton Avenue  W,(416) 460-5183,,4.5,2,Carribean,Eglinton Avenue  W,,1,
Figo,3.5 star rating,250,$$$,Italian,295 Adelaide St W,(647) 748-3446,Entertainment District,3.5,3,European,Adelaide St W,,Entertainment District,Entertainment District
Cocina de Doña Julia,4.5 star rating,9,$,Latin American,1545 Dupont Street,(416) 536-4577,The Junction,4.5,1,American,Dupont Street,,The Junction,The Junction
Barista & Chef,4.5 star rating,44,$$,Mediterranean,1006 Saint Clair Avenue W,(647) 344-1216,,4.5,2,Middle Eastern,Saint Clair Avenue W,Wychwood,1,Wychwood
Lucia,4 star rating,4,None,Italian,1595 Dupont Street,(416) 901-4533,The Junction,4.0,0,European,Dupont Street,,The Junction,The Junction
La Carnita,3.5 star rating,110,$$,Mexican,780 Queen Street E,(647) 344-0780,Riverdale,3.5,2,Mexican,Queen Street E,,Riverdale,Riverdale
Doo Roo Ae,3.5 star rating,74,$$,Korean,659 Bloor Street  West,(647) 350-8133,Koreatown,3.5,2,Asian,Bloor Street  West,,Koreatown,Koreatown
Blu Ristorante,4 star rating,136,$$$,Italian,17 Yorkville Ave,(416) 921-1471,Yorkville,4.0,3,European,Yorkville Ave,,Yorkville,Yorkville
Amber European Restaurant,4 star rating,33,$$,Modern European,2372 Bloor Street W,(416) 763-6164,Bloor-West Village,4.0,2,European,Bloor Street W,,Bloor-West Village,Bloor-West Village
Tabule Middle Eastern Cuisine,3.5 star rating,56,$$,Middle Eastern,2901 Bayview Avenue,(416) 222-5424,Bayview Village,3.5,2,Middle Eastern,Bayview Avenue,,Bayview Village,Bayview Village
Kid Lee,4 star rating,84,$$,Asian Fusion,None,(647) 352-0092,Financial District,4.0,2,Asian,,,Financial District,Financial District
TORA,3.5 star rating,134,$$$,Japanese,None,Located in Yorkdale Shopping Centre - Temp. CLOSED,,3.5,3,Asian,,,1,
Auberge du Pommier,4 star rating,350,$$$,French,4150 Yonge Street,(416) 222-2220,,4.0,3,European,Yonge Street,,1,
Corks,4 star rating,26,$,Tapas/Small Plates,15 York Street,(416) 366-1717,,4.0,1,European,York Street,Entertainment District,1,Entertainment District
Dreyfus,3.5 star rating,15,None,French,96 Harbord Street,(416) 323-1385,,3.5,0,European,Harbord Street,Entertainment District,1,Entertainment District
Golden Thai Restaurant,3.5 star rating,207,$$,Thai,105 Church Street,(416) 868-6668,Corktown,3.5,2,Asian,Church Street,,Corktown,Corktown
Le Swan,4 star rating,35,None,French,892 Queen St W,(416) 536-4440,West Queen West,4.0,0,European,Queen St W,,West Queen West,West Queen West
ThairoomGrand,4 star rating,44,$$,Thai,861 Yorkmills Road,(416) 444-7223,,4.0,2,Asian,Yorkmills Road,North York,1,North York
Reyna on King,3.5 star rating,16,None,Tapas Bars,354 King Street East,354 King Street East,Corktown,3.5,0,American,King Street East,,Corktown,Corktown
CrowdedHouse,4.5 star rating,52,$$,Mediterranean,1161 Queen Street E,(416) 406-0400,Leslieville,4.5,2,Middle Eastern,Queen Street E,,Leslieville,Leslieville
Soba Canada,4 star rating,12,$$,Japanese,120 Bloor Street E,(416) 436-7997,,4.0,2,Asian,Bloor Street E,,1,
Panera Bread,3 star rating,82,$$,American (Traditional),3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
The Cherie Bistro,4 star rating,11,None,Italian,538 Church Street,(416) 968-1010,Church-Wellesley Village,4.0,0,European,Church Street,,Church-Wellesley Village,Church-Wellesley Village
Natural Japaneats,5 star rating,1,None,Japanese,601 Christie Street,601 Christie Street,Wychwood,5.0,0,Asian,Christie Street,,Wychwood,Wychwood
Friday Roots,4 star rating,8,None,Soul Food,876 Dundas Street West,(647) 812-3319,Little Italy,4.0,0,Other,Dundas Street West,,Little Italy,Little Italy
Aviator Danforth,3.5 star rating,11,None,American (Traditional),1458 Danforth Ave,(647) 348-2680,The Danforth,3.5,0,American,Danforth Ave,,The Danforth,The Danforth
Pig Out BBQ,4 star rating,93,$$,Barbeque,650 Spadina Avenue,(416) 792-6120,Downtown Core,4.0,2,American,Spadina Avenue,,Downtown Core,Downtown Core
Cluny Bistro & Boulangerie,3.5 star rating,559,$$$,French,35 Tank House Lane,(416) 203-2632,Distillery District,3.5,3,European,Tank House Lane,,Distillery District,Distillery District
Paul’s Spaghetti,4 star rating,37,$$,Italian,488 Cosburn Avenue,(416) 422-4362,East York,4.0,2,European,Cosburn Avenue,,East York,East York
Kub Khao Thai Eatery,4 star rating,323,$$,Thai,3561 Sheppard E,(416) 297-8888,Scarborough,4.0,2,Asian,Sheppard E,,Scarborough,Scarborough
BAO,3.5 star rating,26,None,Chinese,2-270 Spadina Avenue,(416) 901-7885,Chinatown,3.5,0,Asian,Spadina Avenue,,Chinatown,Chinatown
Chabrol Restaurant,4 star rating,85,$$$,French,90 Yorkville Avenue,(416) 428-6641,Yorkville,4.0,3,European,Yorkville Avenue,,Yorkville,Yorkville
Terrazza,4 star rating,39,$$,Italian,372 Harbord Street,(647) 343-3283,Bickford Park,4.0,2,European,Harbord Street,Entertainment District,Bickford Park,Bickford Park
Spice Indian Bistro,4.5 star rating,35,None,Indian,320 Richmond Street E,(647) 350-8226,Corktown,4.5,0,Asian,Richmond Street E,,Corktown,Corktown
Mean Bao,4 star rating,13,None,Dim Sum,2210 Dundas Street W,(647) 349-2210,Roncesvalles,4.0,0,Asian,Dundas Street W,,Roncesvalles,Roncesvalles
Bar Vendetta,4.5 star rating,6,None,Italian,928 Dundas Street W,(416) 551-8854,Little Italy,4.5,0,European,Dundas Street W,,Little Italy,Little Italy
Kimama,4 star rating,19,$$,Korean,7 Mercer Street,(416) 596-0011,Entertainment District,4.0,2,Asian,Mercer Street,,Entertainment District,Entertainment District
Shoushin,4 star rating,78,$$$$,Japanese,3328 Yonge Street,(416) 488-9400,,4.0,4,Asian,Yonge Street,,1,
Moo Frites,4 star rating,212,$,Belgian,178 Baldwin Street,178 Baldwin Street,Kensington Market,4.0,1,European,Baldwin Street,,Kensington Market,Kensington Market
Amber European Restaurant,4 star rating,33,$$,Modern European,2372 Bloor Street W,(416) 763-6164,Bloor-West Village,4.0,2,European,Bloor Street W,,Bloor-West Village,Bloor-West Village
Mother Tongue,4 star rating,55,None,Cocktail Bars,348 Adelaide Street W,(647) 243-5858,Entertainment District,4.0,0,American,Adelaide Street W,Financial District,Entertainment District,Entertainment District
CrowdedHouse,4.5 star rating,52,$$,Mediterranean,1161 Queen Street E,(416) 406-0400,Leslieville,4.5,2,Middle Eastern,Queen Street E,,Leslieville,Leslieville
Morton’s The Steakhouse,4 star rating,116,$$$$,Steakhouses,4 Avenue Road,(416) 925-0648,The Annex,4.0,4,American,Avenue Road,,The Annex,The Annex
Batifole Restaurant,4 star rating,70,$$$,French,744 Gerrard Street E,(416) 462-9965,Riverdale,4.0,3,European,Gerrard Street E,,Riverdale,Riverdale
Karahi Boys,4 star rating,11,None,Pakistani,1921 Lawrence Avenue E,(416) 901-8727,Scarborough,4.0,0,Middle Eastern,Lawrence Avenue E,,Scarborough,Scarborough
Tuk Tuk Canteen,3.5 star rating,23,None,Asian Fusion,397 Roncesvalles Avenue,397 Roncesvalles Avenue,Roncesvalles,3.5,0,Asian,Roncesvalles Avenue,,Roncesvalles,Roncesvalles
Constantine,3.5 star rating,112,$$,Mediterranean,15 Charles Street E,(647) 475-4436,Church-Wellesley Village,3.5,2,Middle Eastern,Charles Street E,,Church-Wellesley Village,Church-Wellesley Village
Hogtown Vegan,4.5 star rating,75,$$,Vegan,382 College Street,(416) 546-7900,,4.5,2,American,College Street,Downtown,1,Downtown
Earlscourt BBQ,4 star rating,33,$$,Barbeque,1278 St Clair Avenue W,(647) 931-0904,Corso Italia,4.0,2,American,St Clair Avenue W,Corso Italia,Corso Italia,Corso Italia
Canis,4.5 star rating,75,$$$,Canadian (New),746 Queen Street W,(416) 203-3317,Trinity Bellwoods,4.5,3,American,Queen Street W,,Trinity Bellwoods,Trinity Bellwoods
St Clair Banh Cuon Pho Ga,4 star rating,67,$,Vietnamese,1772 Saint Clair Avenue W,(416) 651-3771,,4.0,1,Asian,Saint Clair Avenue W,Wychwood,1,Wychwood
King Rustic,4 star rating,54,$$,Comfort Food,905 King Street W,(416) 792-5910,Niagara,4.0,2,Other,King Street W,Entertainment District,Niagara,Niagara
Panera Bread,3 star rating,82,$$,Soup,3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
Shook,3 star rating,29,None,Vegetarian,77 Portland Street,(647) 484-7476,,3.0,0,Other,Portland Street,Entertainment District,1,Entertainment District
Tabule Middle Eastern Cuisine,3.5 star rating,56,$$,Middle Eastern,2901 Bayview Avenue,(416) 222-5424,Bayview Village,3.5,2,Middle Eastern,Bayview Avenue,,Bayview Village,Bayview Village
Duff’s Famous Wings,3.5 star rating,123,$$,Chicken Wings,1604 Bayview Ave,(416) 544-0100,Mount Pleasant and Davisville,3.5,2,American,Bayview Ave,,Mount Pleasant and Davisville,Mount Pleasant and Davisville
Mymy Chicken,3.5 star rating,74,$$,Korean,394 Bloor Street W,(647) 748-8868,The Annex,3.5,2,Asian,Bloor Street W,,The Annex,The Annex
Live Organic Food Bar,4 star rating,203,$$,Live/Raw Food,264 Dupont Street,(416) 515-2002,The Annex,4.0,2,Other,Dupont Street,,The Annex,The Annex
Capocaccia Trattoria,3.5 star rating,61,$$,Pizza,1366 Yonge Street,(416) 921-3141,Yonge and St. Clair,3.5,2,American,Yonge Street,,Yonge and St. Clair,Yonge and St. Clair
Hair of the Dog,4 star rating,326,$$,Pubs,425 Church Street,(416) 964-2708,Church-Wellesley Village,4.0,2,American,Church Street,,Church-Wellesley Village,Church-Wellesley Village
JOEY Eaton Centre,3.5 star rating,481,$$,Canadian (New),1 Dundas St W,(647) 352-5639,Downtown Core,3.5,2,American,Dundas St W,,Downtown Core,Downtown Core
Off The Hook Fishbar,3.5 star rating,146,$$,Fish & Chips,749 Broadview Avenue,(416) 465-4356,Riverdale,3.5,2,American,Broadview Avenue,,Riverdale,Riverdale
Dönerland,4.5 star rating,8,None,Halal,217 Roncesvalles Avenue,(416) 546-8066,Roncesvalles,4.5,0,Middle Eastern,Roncesvalles Avenue,,Roncesvalles,Roncesvalles
Little Sito,4 star rating,32,$$,Lebanese,840 Bloor Street W,(416) 516-6464,Christie Pits,4.0,2,Middle Eastern,Bloor Street W,,Christie Pits,Christie Pits
Harbord House,3.5 star rating,109,$$,Pubs,150 Harbord Street,(647) 430-7365,,3.5,2,American,Harbord Street,Entertainment District,1,Entertainment District
Darbar Persian Grill,3.5 star rating,112,$$,Persian/Iranian,2015 Avenue Road,(416) 519-4545,,3.5,2,Middle Eastern,Avenue Road,,1,
Lalibela Ethiopian Restaurant,3.5 star rating,141,$$,Ethiopian,869 Bloor Street W,(416) 535-6615,Bickford Park,3.5,2,African,Bloor Street W,,Bickford Park,Bickford Park
MamaDon,4.5 star rating,4,None,Japanese,606 Bloor Street W,606 Bloor Street W,Koreatown,4.5,0,Asian,Bloor Street W,,Koreatown,Koreatown
The Dime,3.5 star rating,76,$,Bars,538 Queen Street West,(647) 348-9080,Alexandra Park,3.5,1,American,Queen Street West,,Alexandra Park,Alexandra Park
ThairoomGrand,4 star rating,44,$$,Thai,861 Yorkmills Road,(416) 444-7223,,4.0,2,Asian,Yorkmills Road,North York,1,North York
Shangrila Tibetan & Asian Cuisine,4 star rating,88,$$,Himalayan/Nepalese,1600 Queen Street W,(416) 588-1100,Parkdale,4.0,2,Asian,Queen Street W,,Parkdale,Parkdale
Nando’s Flame Grilled Chicken,3 star rating,72,$$,South African,939 Eglinton Ave E.,(416) 425-9292,,3.0,2,African,Eglinton Ave E.,,1,
Indian Spice Room,5 star rating,2,None,Indian,717 Queen Street E,(647) 349-1009,Riverdale,5.0,0,Asian,Queen Street E,,Riverdale,Riverdale
Selam Restaurant & Lounge,4 star rating,58,$$,Ethiopian,812 Bloor Street W,(416) 915-7225,Christie Pits,4.0,2,African,Bloor Street W,,Christie Pits,Christie Pits
Salad King Restaurant,3.5 star rating,952,$$,Thai,340 Yonge Street,(416) 593-0333,Downtown Core,3.5,2,Asian,Yonge Street,,Downtown Core,Downtown Core
Delicious Empanadas,3.5 star rating,7,$$,Colombian,2438 Dufferin Street,(647) 827-2278,,3.5,2,South American,Dufferin Street,Downtown Core,1,Downtown Core
Founder,4.5 star rating,17,None,Cocktail Bars,1282 Dundas St. W,(647) 348-1282,Little Portugal,4.5,0,American,Dundas St. W,,Little Portugal,Little Portugal
Souv Like,4.5 star rating,58,$,Greek,708 Pape Avenue,(647) 349-9420,Greektown,4.5,1,European,Pape Avenue,,Greektown,Greektown
Union,4 star rating,215,$$$,French,72A Ossington Avenue,(416) 850-0093,Ossington Strip,4.0,3,European,Ossington Avenue,,Ossington Strip,Ossington Strip
Salt and Tobacco,4 star rating,44,$$,Pizza,521 Parliament Street,(647) 348-2993,Cabbagetown,4.0,2,American,Parliament Street,,Cabbagetown,Cabbagetown
Michael’s on Simcoe,4 star rating,151,$$$$,Steakhouses,100 Simcoe Street,(416) 260-5100,Entertainment District,4.0,4,American,Simcoe Street,,Entertainment District,Entertainment District
School Restaurant,3.5 star rating,562,$$,Bakeries,70 Fraser Avenue,(416) 588-0005,Liberty Village,3.5,2,Other,Fraser Avenue,,Liberty Village,Liberty Village
Harbour 60,4 star rating,237,$$$$,Steakhouses,60 Harbour Street,(416) 777-2111,Harbourfront,4.0,4,American,Harbour Street,,Harbourfront,Harbourfront
Panera Bread,3 star rating,82,$$,American (Traditional),3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
Maker Pizza,4 star rating,207,$$,Pizza,59 Cameron Street,(416) 782-2000,Alexandra Park,4.0,2,American,Cameron Street,,Alexandra Park,Alexandra Park
Gyugyuya,4.5 star rating,3,None,Japanese,402 Bloor Street W,(647) 343-7700,The Annex,4.5,0,Asian,Bloor Street W,,The Annex,The Annex
MamaDon,4.5 star rating,4,None,Japanese,606 Bloor Street W,606 Bloor Street W,Koreatown,4.5,0,Asian,Bloor Street W,,Koreatown,Koreatown
Live Organic Food Bar,4 star rating,203,$$,Live/Raw Food,264 Dupont Street,(416) 515-2002,The Annex,4.0,2,Other,Dupont Street,,The Annex,The Annex
Mi Mi Restaurant,4 star rating,116,$,Vietnamese,688 Gerrard Street E,(416) 778-5948,Riverdale,4.0,1,Asian,Gerrard Street E,,Riverdale,Riverdale
Morton’s The Steakhouse,4 star rating,116,$$$$,Steakhouses,4 Avenue Road,(416) 925-0648,The Annex,4.0,4,American,Avenue Road,,The Annex,The Annex
120 Diner,4 star rating,24,$$,Comedy Clubs,120 Church Street,(416) 792-7725,Corktown,4.0,2,American,Church Street,,Corktown,Corktown
Shanghai Shikumen Fine Cuisine,3.5 star rating,19,None,Dim Sum,530 Dundas Street W,(647) 344-7997,Chinatown,3.5,0,Asian,Dundas Street W,,Chinatown,Chinatown
Fresh On Bloor,3.5 star rating,311,$$,Vegan,326 Bloor Street W,(416) 599-4442,The Annex,3.5,2,American,Bloor Street W,,The Annex,The Annex
Union,4 star rating,215,$$$,French,72A Ossington Avenue,(416) 850-0093,Ossington Strip,4.0,3,European,Ossington Avenue,,Ossington Strip,Ossington Strip
Best istanbul Restaurant,4 star rating,6,None,Turkish,235 Augusta Avenue,235 Augusta Avenue,Kensington Market,4.0,0,Middle Eastern,Augusta Avenue,,Kensington Market,Kensington Market
Diwan,4 star rating,55,$$,Turkish,None,(416) 646-4670,,4.0,2,Middle Eastern,,,1,
The Parlour,4 star rating,22,None,Pizza,642 King St W,(416) 869-3322,,4.0,0,American,King St W,,1,
Lechon Republik,5 star rating,1,None,Filipino,1 Romar Crescent,(647) 340-0807,,5.0,0,Asian,Romar Crescent,Glen Park,1,Glen Park
One2 Snacks,4.5 star rating,219,$,Malaysian,8 Glen Watford Drive,(647) 340-7099,Scarborough,4.5,1,Asian,Glen Watford Drive,,Scarborough,Scarborough
The Craft Brasserie & Grille,3.5 star rating,152,$$,Brasseries,107 Atlantic Avenue,(416) 535-2337,Liberty Village,3.5,2,Other,Atlantic Avenue,,Liberty Village,Liberty Village
Bodega Henriette,4.5 star rating,51,$$,Bars,1801 Gerrard Street E,(416) 546-6261,Upper Beach,4.5,2,American,Gerrard Street E,,Upper Beach,Upper Beach
Sidebar,4 star rating,13,None,Pizza,161 Danforth Avenue,(647) 350-7227,Riverdale,4.0,0,American,Danforth Avenue,,Riverdale,Riverdale
Dumpling House Restaurant,3.5 star rating,583,$,Chinese,328 Spadina Avenue,(416) 596-8898,Chinatown,3.5,1,Asian,Spadina Avenue,,Chinatown,Chinatown
Thai Country Kitchen,4 star rating,135,$,Thai,412 Spadina Ave,(416) 977-5999,Chinatown,4.0,1,Asian,Spadina Ave,,Chinatown,Chinatown
Fusaro’s Kitchen,4 star rating,138,$$,Italian,147 Spadina Avenue,(416) 260-8414,Entertainment District,4.0,2,European,Spadina Avenue,,Entertainment District,Entertainment District
